hname,City,State,year,rate,group_2013,group_2014,group_2015,group_2016,group_2017,stategroup,stateorder
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,FY2015,0.1,2,1,1,1,1,1,3
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,FY2016,0.08,2,1,1,1,1,1,3
NORTHSIDE HOSPITAL FORSYTH,CUMMING,GA,FY2017,0.1,2,1,1,1,1,1,3
NORTHSIDE MEDICAL CENTER,COLUMBUS,GA,FY2013,0,0,0,0,1,2,1,3
NORTHSIDE MEDICAL CENTER,COLUMBUS,GA,FY2014,0,0,0,0,1,2,1,3
NORTHSIDE MEDICAL CENTER,COLUMBUS,GA,FY2015,0,0,0,0,1,2,1,3
NORTHSIDE MEDICAL CENTER,COLUMBUS,GA,FY2016,0.18,0,0,0,1,2,1,3
NORTHSIDE MEDICAL CENTER,COLUMBUS,GA,FY2017,0.77,0,0,0,1,2,1,3
OCONEE REGIONAL MEDICAL CENTER,MILLEDGEVILLE,GA,FY2013,0,0,0,1,1,1,1,3
OCONEE REGIONAL MEDICAL CENTER,MILLEDGEVILLE,GA,FY2014,0,0,0,1,1,1,1,3
OCONEE REGIONAL MEDICAL CENTER,MILLEDGEVILLE,GA,FY2015,0.07,0,0,1,1,1,1,3
OCONEE REGIONAL MEDICAL CENTER,MILLEDGEVILLE,GA,FY2016,0.08,0,0,1,1,1,1,3
OCONEE REGIONAL MEDICAL CENTER,MILLEDGEVILLE,GA,FY2017,0.06,0,0,1,1,1,1,3
PERRY HOSPITAL,PERRY,GA,FY2013,0.21,1,1,3,2,3,1,3
PERRY HOSPITAL,PERRY,GA,FY2014,0.09,1,1,3,2,3,1,3
PERRY HOSPITAL,PERRY,GA,FY2015,1.12,1,1,3,2,3,1,3
PERRY HOSPITAL,PERRY,GA,FY2016,0.75,1,1,3,2,3,1,3
PERRY HOSPITAL,PERRY,GA,FY2017,1.28,1,1,3,2,3,1,3
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,FY2013,0,0,0,1,1,2,1,3
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,FY2014,0,0,0,1,1,2,1,3
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,FY2015,0.18,0,0,1,1,2,1,3
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,FY2016,0.39,0,0,1,1,2,1,3
PHOEBE PUTNEY MEMORIAL HOSPITAL,ALBANY,GA,FY2017,0.72,0,0,1,1,2,1,3
PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,FY2013,0,0,0,1,1,1,1,3
PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,FY2014,0,0,0,1,1,1,1,3
PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,FY2015,0.22,0,0,1,1,1,1,3
PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,FY2016,0.28,0,0,1,1,1,1,3
PHOEBE SUMTER MEDICAL CENTER,AMERICUS,GA,FY2017,0.14,0,0,1,1,1,1,3
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,FY2013,0,0,0,1,2,4,1,3
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,FY2014,0,0,0,1,2,4,1,3
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,FY2015,0.09,0,0,1,2,4,1,3
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,FY2016,0.67,0,0,1,2,4,1,3
PIEDMONT FAYETTE HOSPITAL,FAYETTEVILLE,GA,FY2017,1.53,0,0,1,2,4,1,3
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,FY2013,0.31,1,1,2,6,6,1,3
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,FY2014,0.27,1,1,2,6,6,1,3
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,FY2015,0.75,1,1,2,6,6,1,3
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,FY2016,2.59,1,1,2,6,6,1,3
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,FY2017,2.65,1,1,2,6,6,1,3
PIEDMONT HOSPITAL,ATLANTA,GA,FY2013,0,0,1,1,1,2,1,3
PIEDMONT HOSPITAL,ATLANTA,GA,FY2014,0.01,0,1,1,1,2,1,3
PIEDMONT HOSPITAL,ATLANTA,GA,FY2015,0.46,0,1,1,1,2,1,3
PIEDMONT HOSPITAL,ATLANTA,GA,FY2016,0.35,0,1,1,1,2,1,3
PIEDMONT HOSPITAL,ATLANTA,GA,FY2017,0.58,0,1,1,1,2,1,3
PIEDMONT MOUNTAINSIDE HOSPITAL INC,JASPER,GA,FY2013,0.28,1,2,2,2,2,1,3
PIEDMONT MOUNTAINSIDE HOSPITAL INC,JASPER,GA,FY2014,0.52,1,2,2,2,2,1,3
PIEDMONT MOUNTAINSIDE HOSPITAL INC,JASPER,GA,FY2015,0.97,1,2,2,2,2,1,3
PIEDMONT MOUNTAINSIDE HOSPITAL INC,JASPER,GA,FY2016,0.83,1,2,2,2,2,1,3
PIEDMONT MOUNTAINSIDE HOSPITAL INC,JASPER,GA,FY2017,0.99,1,2,2,2,2,1,3
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,FY2013,0.25,1,1,2,1,1,1,3
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,FY2014,0.33,1,1,2,1,1,1,3
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,FY2015,0.52,1,1,2,1,1,1,3
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,FY2016,0.32,1,1,2,1,1,1,3
"PIEDMONT NEWNAN HOSPITAL, INC",NEWNAN,GA,FY2017,0.16,1,1,2,1,1,1,3
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,FY2013,0.14,1,1,1,2,3,1,3
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,FY2014,0.1,1,1,1,2,3,1,3
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,FY2015,0.14,1,1,1,2,3,1,3
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,FY2016,0.52,1,1,1,2,3,1,3
PIEDMONT NEWTON HOSPITAL,COVINGTON,GA,FY2017,1.36,1,1,1,2,3,1,3
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,FY2013,0,0,0,2,3,2,1,3
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,FY2014,0,0,0,2,3,2,1,3
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,FY2015,0.69,0,0,2,3,2,1,3
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,FY2016,1.02,0,0,2,3,2,1,3
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,FY2017,0.91,0,0,2,3,2,1,3
ROCKDALE MEDICAL CENTER,CONYERS,GA,FY2013,0.29,1,1,3,2,2,1,3
ROCKDALE MEDICAL CENTER,CONYERS,GA,FY2014,0.08,1,1,3,2,2,1,3
ROCKDALE MEDICAL CENTER,CONYERS,GA,FY2015,1.01,1,1,3,2,2,1,3
ROCKDALE MEDICAL CENTER,CONYERS,GA,FY2016,0.69,1,1,3,2,2,1,3
ROCKDALE MEDICAL CENTER,CONYERS,GA,FY2017,0.89,1,1,3,2,2,1,3
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,FY2013,0,0,0,0,0,1,1,3
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,FY2014,0,0,0,0,0,1,1,3
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,FY2015,0,0,0,0,0,1,1,3
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,FY2016,0,0,0,0,0,1,1,3
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,FY2017,0.39,0,0,0,0,1,1,3
SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,GA,FY2013,0.21,1,1,1,2,4,1,3
SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,GA,FY2014,0.04,1,1,1,2,4,1,3
SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,GA,FY2015,0.5,1,1,1,2,4,1,3
SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,GA,FY2016,0.54,1,1,1,2,4,1,3
SOUTH GEORGIA MEDICAL CENTER,VALDOSTA,GA,FY2017,1.51,1,1,1,2,4,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,FY2013,0,0,0,1,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,FY2014,0,0,0,1,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,FY2015,0.31,0,0,1,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,FY2016,0.36,0,0,1,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,BRUNSWICK,GA,FY2017,0.27,0,0,1,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,SAINT MARYS,GA,FY2013,0.27,1,0,0,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,SAINT MARYS,GA,FY2014,0,1,0,0,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,SAINT MARYS,GA,FY2015,0,1,0,0,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,SAINT MARYS,GA,FY2016,0.04,1,0,0,1,1,1,3
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,SAINT MARYS,GA,FY2017,0.17,1,0,0,1,1,1,3
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,FY2013,0.27,1,1,1,2,2,1,3
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,FY2014,0.17,1,1,1,2,2,1,3
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,FY2015,0.45,1,1,1,2,2,1,3
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,FY2016,0.76,1,1,1,2,2,1,3
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,FY2017,0.7,1,1,1,2,2,1,3
ST FRANCIS HOSPITAL,COLUMBUS,GA,FY2013,0,0,0,1,1,1,1,3
ST FRANCIS HOSPITAL,COLUMBUS,GA,FY2014,0,0,0,1,1,1,1,3
ST FRANCIS HOSPITAL,COLUMBUS,GA,FY2015,0.36,0,0,1,1,1,1,3
ST FRANCIS HOSPITAL,COLUMBUS,GA,FY2016,0.39,0,0,1,1,1,1,3
ST FRANCIS HOSPITAL,COLUMBUS,GA,FY2017,0.06,0,0,1,1,1,1,3
ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,FY2013,0,0,0,1,1,1,1,3
ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,FY2014,0,0,0,1,1,1,1,3
ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,FY2015,0.05,0,0,1,1,1,1,3
ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,FY2016,0.06,0,0,1,1,1,1,3
ST JOSEPH'S HOSPITAL - SAVANNAH,SAVANNAH,GA,FY2017,0.23,0,0,1,1,1,1,3
ST MARY'S HOSPITAL,ATHENS,GA,FY2013,0,0,0,0,0,0,1,3
ST MARY'S HOSPITAL,ATHENS,GA,FY2014,0,0,0,0,0,0,1,3
ST MARY'S HOSPITAL,ATHENS,GA,FY2015,0,0,0,0,0,0,1,3
ST MARY'S HOSPITAL,ATHENS,GA,FY2016,0,0,0,0,0,0,1,3
ST MARY'S HOSPITAL,ATHENS,GA,FY2017,0,0,0,0,0,0,1,3
"ST MARY'S SACRED HEART HOSPITAL, INC",LAVONIA,GA,FY2013,0,0,0,0,1,0,1,3
"ST MARY'S SACRED HEART HOSPITAL, INC",LAVONIA,GA,FY2014,0,0,0,0,1,0,1,3
"ST MARY'S SACRED HEART HOSPITAL, INC",LAVONIA,GA,FY2015,0,0,0,0,1,0,1,3
"ST MARY'S SACRED HEART HOSPITAL, INC",LAVONIA,GA,FY2016,0.15,0,0,0,1,0,1,3
"ST MARY'S SACRED HEART HOSPITAL, INC",LAVONIA,GA,FY2017,0,0,0,0,1,0,1,3
STEPHENS COUNTY HOSPITAL,TOCCOA,GA,FY2013,0.08,1,1,2,1,2,1,3
STEPHENS COUNTY HOSPITAL,TOCCOA,GA,FY2014,0.35,1,1,2,1,2,1,3
STEPHENS COUNTY HOSPITAL,TOCCOA,GA,FY2015,0.59,1,1,2,1,2,1,3
STEPHENS COUNTY HOSPITAL,TOCCOA,GA,FY2016,0.42,1,1,2,1,2,1,3
STEPHENS COUNTY HOSPITAL,TOCCOA,GA,FY2017,0.71,1,1,2,1,2,1,3
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,FY2013,0,0,1,1,1,2,1,3
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,FY2014,0.04,0,1,1,1,2,1,3
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,FY2015,0.23,0,1,1,1,2,1,3
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,FY2016,0.06,0,1,1,1,2,1,3
TANNER MEDICAL CENTER - CARROLLTON,CARROLLTON,GA,FY2017,0.56,0,1,1,1,2,1,3
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,FY2013,0.17,1,0,1,1,1,1,3
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,FY2014,0,1,0,1,1,1,1,3
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,FY2015,0.13,1,0,1,1,1,1,3
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,FY2016,0.07,1,0,1,1,1,1,3
TANNER MEDICAL CENTER VILLA RICA,VILLA RICA,GA,FY2017,0.31,1,0,1,1,1,1,3
TAYLOR REGIONAL HOSPITAL,HAWKINSVILLE,GA,FY2013,0.29,1,1,1,0,0,1,3
TAYLOR REGIONAL HOSPITAL,HAWKINSVILLE,GA,FY2014,0.21,1,1,1,0,0,1,3
TAYLOR REGIONAL HOSPITAL,HAWKINSVILLE,GA,FY2015,0.02,1,1,1,0,0,1,3
TAYLOR REGIONAL HOSPITAL,HAWKINSVILLE,GA,FY2016,0,1,1,1,0,0,1,3
TAYLOR REGIONAL HOSPITAL,HAWKINSVILLE,GA,FY2017,0,1,1,1,0,0,1,3
TIFT REGIONAL MEDICAL CENTER,TIFTON,GA,FY2013,0.05,1,1,1,1,1,1,3
TIFT REGIONAL MEDICAL CENTER,TIFTON,GA,FY2014,0.07,1,1,1,1,1,1,3
TIFT REGIONAL MEDICAL CENTER,TIFTON,GA,FY2015,0.09,1,1,1,1,1,1,3
TIFT REGIONAL MEDICAL CENTER,TIFTON,GA,FY2016,0.29,1,1,1,1,1,1,3
TIFT REGIONAL MEDICAL CENTER,TIFTON,GA,FY2017,0.1,1,1,1,1,1,1,3
TRINITY HOSPITAL OF AUGUSTA,AUGUSTA,GA,FY2013,0.15,1,1,3,1,1,1,3
TRINITY HOSPITAL OF AUGUSTA,AUGUSTA,GA,FY2014,0.34,1,1,3,1,1,1,3
TRINITY HOSPITAL OF AUGUSTA,AUGUSTA,GA,FY2015,1.22,1,1,3,1,1,1,3
TRINITY HOSPITAL OF AUGUSTA,AUGUSTA,GA,FY2016,0.31,1,1,3,1,1,1,3
TRINITY HOSPITAL OF AUGUSTA,AUGUSTA,GA,FY2017,0.47,1,1,3,1,1,1,3
TURNING POINT HOSPITAL,MOULTRIE,GA,FY2013,0,0,0,0,0,0,1,3
TURNING POINT HOSPITAL,MOULTRIE,GA,FY2014,0,0,0,0,0,0,1,3
TURNING POINT HOSPITAL,MOULTRIE,GA,FY2015,0,0,0,0,0,0,1,3
TURNING POINT HOSPITAL,MOULTRIE,GA,FY2016,0,0,0,0,0,0,1,3
TURNING POINT HOSPITAL,MOULTRIE,GA,FY2017,0,0,0,0,0,0,1,3
UNION GENERAL HOSPITAL,BLAIRSVILLE,GA,FY2013,0.02,1,0,1,0,1,1,3
UNION GENERAL HOSPITAL,BLAIRSVILLE,GA,FY2014,0,1,0,1,0,1,1,3
UNION GENERAL HOSPITAL,BLAIRSVILLE,GA,FY2015,0.04,1,0,1,0,1,1,3
UNION GENERAL HOSPITAL,BLAIRSVILLE,GA,FY2016,0,1,0,1,0,1,1,3
UNION GENERAL HOSPITAL,BLAIRSVILLE,GA,FY2017,0.39,1,0,1,0,1,1,3
UNIVERSITY HOSPITAL,AUGUSTA,GA,FY2013,0.04,1,1,1,2,3,1,3
UNIVERSITY HOSPITAL,AUGUSTA,GA,FY2014,0.06,1,1,1,2,3,1,3
UNIVERSITY HOSPITAL,AUGUSTA,GA,FY2015,0.3,1,1,1,2,3,1,3
UNIVERSITY HOSPITAL,AUGUSTA,GA,FY2016,0.6,1,1,1,2,3,1,3
UNIVERSITY HOSPITAL,AUGUSTA,GA,FY2017,1.13,1,1,1,2,3,1,3
UNIVERSITY HOSPITAL MCDUFFIE,THOMSON,GA,FY2013,0,0,1,1,3,5,1,3
UNIVERSITY HOSPITAL MCDUFFIE,THOMSON,GA,FY2014,0.03,0,1,1,3,5,1,3
UNIVERSITY HOSPITAL MCDUFFIE,THOMSON,GA,FY2015,0.45,0,1,1,3,5,1,3
UNIVERSITY HOSPITAL MCDUFFIE,THOMSON,GA,FY2016,1.2,0,1,1,3,5,1,3
UNIVERSITY HOSPITAL MCDUFFIE,THOMSON,GA,FY2017,2.05,0,1,1,3,5,1,3
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,FY2013,0.42,1,1,1,2,2,1,3
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,FY2014,0.27,1,1,1,2,2,1,3
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,FY2015,0.16,1,1,1,2,2,1,3
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,FY2016,0.59,1,1,1,2,2,1,3
UPSON REGIONAL MEDICAL CENTER,THOMASTON,GA,FY2017,0.64,1,1,1,2,2,1,3
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,SANDERSVILLE,GA,FY2013,0.03,1,1,1,0,2,1,3
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,SANDERSVILLE,GA,FY2014,0.11,1,1,1,0,2,1,3
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,SANDERSVILLE,GA,FY2015,0.42,1,1,1,0,2,1,3
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,SANDERSVILLE,GA,FY2016,0,1,1,1,0,2,1,3
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,SANDERSVILLE,GA,FY2017,0.61,1,1,1,0,2,1,3
WAYNE MEMORIAL HOSPITAL,JESUP,GA,FY2013,0.79,2,2,2,2,2,1,3
WAYNE MEMORIAL HOSPITAL,JESUP,GA,FY2014,0.53,2,2,2,2,2,1,3
WAYNE MEMORIAL HOSPITAL,JESUP,GA,FY2015,0.87,2,2,2,2,2,1,3
WAYNE MEMORIAL HOSPITAL,JESUP,GA,FY2016,0.85,2,2,2,2,2,1,3
WAYNE MEMORIAL HOSPITAL,JESUP,GA,FY2017,0.9,2,2,2,2,2,1,3
WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,FY2013,0.22,1,1,1,1,2,1,3
WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,FY2014,0.1,1,1,1,1,2,1,3
WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,FY2015,0.16,1,1,1,1,2,1,3
WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,FY2016,0.22,1,1,1,1,2,1,3
WELLSTAR ATLANTA MEDICAL CENTER,ATLANTA,GA,FY2017,0.55,1,1,1,1,2,1,3
WELLSTAR COBB HOSPITAL,AUSTELL,GA,FY2013,0.32,1,1,1,1,1,1,3
WELLSTAR COBB HOSPITAL,AUSTELL,GA,FY2014,0.16,1,1,1,1,1,1,3
WELLSTAR COBB HOSPITAL,AUSTELL,GA,FY2015,0.04,1,1,1,1,1,1,3
WELLSTAR COBB HOSPITAL,AUSTELL,GA,FY2016,0.03,1,1,1,1,1,1,3
WELLSTAR COBB HOSPITAL,AUSTELL,GA,FY2017,0.09,1,1,1,1,1,1,3
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,FY2013,0.59,2,1,1,1,1,1,3
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,FY2014,0.26,2,1,1,1,1,1,3
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,FY2015,0.48,2,1,1,1,1,1,3
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,FY2016,0.11,2,1,1,1,1,1,3
WELLSTAR DOUGLAS HOSPITAL,DOUGLASVILLE,GA,FY2017,0.08,2,1,1,1,1,1,3
WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,FY2013,0.7,2,1,2,1,1,1,3
WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,FY2014,0.43,2,1,2,1,1,1,3
WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,FY2015,0.77,2,1,2,1,1,1,3
WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,FY2016,0.42,2,1,2,1,1,1,3
WELLSTAR KENNESTONE HOSPITAL,MARIETTA,GA,FY2017,0.43,2,1,2,1,1,1,3
WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,FY2013,0.01,1,1,1,2,3,1,3
WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,FY2014,0.05,1,1,1,2,3,1,3
WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,FY2015,0.49,1,1,1,2,3,1,3
WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,FY2016,0.63,1,1,1,2,3,1,3
WELLSTAR NORTH FULTON HOSPITAL,ROSWELL,GA,FY2017,1.2,1,1,1,2,3,1,3
WELLSTAR PAULDING HOSPITAL,HIRAM,GA,FY2013,0.34,1,1,2,1,2,1,3
WELLSTAR PAULDING HOSPITAL,HIRAM,GA,FY2014,0.32,1,1,2,1,2,1,3
WELLSTAR PAULDING HOSPITAL,HIRAM,GA,FY2015,0.83,1,1,2,1,2,1,3
WELLSTAR PAULDING HOSPITAL,HIRAM,GA,FY2016,0.25,1,1,2,1,2,1,3
WELLSTAR PAULDING HOSPITAL,HIRAM,GA,FY2017,0.52,1,1,2,1,2,1,3
WELLSTAR SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,FY2013,0.53,2,2,2,3,3,1,3
WELLSTAR SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,FY2014,0.63,2,2,2,3,3,1,3
WELLSTAR SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,FY2015,0.95,2,2,2,3,3,1,3
WELLSTAR SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,FY2016,1.13,2,2,2,3,3,1,3
WELLSTAR SPALDING REGIONAL HOSPITAL,GRIFFIN,GA,FY2017,1.2,2,2,2,3,3,1,3
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,FY2013,0.03,1,1,1,1,1,1,3
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,FY2014,0.41,1,1,1,1,1,1,3
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,FY2015,0.31,1,1,1,1,1,1,3
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,FY2016,0.26,1,1,1,1,1,1,3
WELLSTAR WEST GEORGIA MEDICAL CENTER,LAGRANGE,GA,FY2017,0.22,1,1,1,1,1,1,3
CASTLE MEDICAL CENTER,KAILUA,HI,FY2013,0.72,2,1,2,3,2,3,4
CASTLE MEDICAL CENTER,KAILUA,HI,FY2014,0.43,2,1,2,3,2,3,4
CASTLE MEDICAL CENTER,KAILUA,HI,FY2015,0.57,2,1,2,3,2,3,4
CASTLE MEDICAL CENTER,KAILUA,HI,FY2016,1.01,2,1,2,3,2,3,4
CASTLE MEDICAL CENTER,KAILUA,HI,FY2017,0.81,2,1,2,3,2,3,4
HILO MEDICAL CENTER,HILO,HI,FY2013,0,0,0,1,1,1,3,4
HILO MEDICAL CENTER,HILO,HI,FY2014,0,0,0,1,1,1,3,4
HILO MEDICAL CENTER,HILO,HI,FY2015,0.08,0,0,1,1,1,3,4
HILO MEDICAL CENTER,HILO,HI,FY2016,0.24,0,0,1,1,1,3,4
HILO MEDICAL CENTER,HILO,HI,FY2017,0.38,0,0,1,1,1,3,4
KAISER FOUNDATION HOSPITAL,HONOLULU,HI,FY2013,0,0,1,1,1,1,3,4
KAISER FOUNDATION HOSPITAL,HONOLULU,HI,FY2014,0.1,0,1,1,1,1,3,4
KAISER FOUNDATION HOSPITAL,HONOLULU,HI,FY2015,0.06,0,1,1,1,1,3,4
KAISER FOUNDATION HOSPITAL,HONOLULU,HI,FY2016,0.17,0,1,1,1,1,3,4
KAISER FOUNDATION HOSPITAL,HONOLULU,HI,FY2017,0.19,0,1,1,1,1,3,4
KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,FY2013,0.04,1,1,1,1,1,3,4
KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,FY2014,0.03,1,1,1,1,1,3,4
KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,FY2015,0.08,1,1,1,1,1,3,4
KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,FY2016,0.13,1,1,1,1,1,3,4
KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,FY2017,0.28,1,1,1,1,1,3,4
KUAKINI MEDICAL CENTER,HONOLULU,HI,FY2013,0.17,1,1,1,1,1,3,4
KUAKINI MEDICAL CENTER,HONOLULU,HI,FY2014,0.37,1,1,1,1,1,3,4
KUAKINI MEDICAL CENTER,HONOLULU,HI,FY2015,0.3,1,1,1,1,1,3,4
KUAKINI MEDICAL CENTER,HONOLULU,HI,FY2016,0.08,1,1,1,1,1,3,4
KUAKINI MEDICAL CENTER,HONOLULU,HI,FY2017,0.11,1,1,1,1,1,3,4
MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,FY2013,0,0,0,1,1,1,3,4
MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,FY2014,0,0,0,1,1,1,3,4
MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,FY2015,0.05,0,0,1,1,1,3,4
MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,FY2016,0.3,0,0,1,1,1,3,4
MAUI MEMORIAL MEDICAL CENTER,WAILUKU,HI,FY2017,0.19,0,0,1,1,1,3,4
NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,FY2013,0,0,1,0,0,0,3,4
NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,FY2014,0.07,0,1,0,0,0,3,4
NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,FY2015,0,0,1,0,0,0,3,4
NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,FY2016,0,0,1,0,0,0,3,4
NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,FY2017,0,0,1,0,0,0,3,4
PALI MOMI MEDICAL CENTER,AIEA,HI,FY2013,0.55,2,1,1,2,1,3,4
